order_id,order_date,Name,Product,sale_price,quantity
1,01-03-2023,Kwai Yu,Bookcases,254.8,2
2,15-08-2023,Paul Henriot,Chairs,708.1,3
3,10-01-2023,Daniel Da Cunha,Labels,9.5,2
4,18-06-2022,Julie Young,Tables,940.8,5
5,13-07-2022,Juri Hirano,Storage,19,2
6,13-03-2022,Martine Rance,Furnishings,48.5,7
6,13-03-2022,Martine Rance,Furnishings,48.5,7
7,28-12-2022,Veysel Oeztan,Art,9.7,4
8,25-01-2022,Dominique Perrier,Phones,864.5,6
9,23-03-2023,Peter Ferguson,Binders,19.6,3
10,16-05-2023,Michael Frick,Appliances,106.7,5
11,31-03-2023,William Brown,Tables,1658.7,9
12,25-12-2023,Julie King,Phones,882.7,4
13,11-02-2022,Janine Labrune,Paper,19.4,3
14,18-07-2023,Marta Hernandez,Binders,401.8,3
15,09-11-2023,Matti Karttunen,Appliances,66.5,5
16,18-06-2022,Jonas Bergulfsen,Pencil,0,0
17,04-02-2022,Kyung Yu,Storage,649.9,6
18,04-08-2023,Kwai Yu,Storage,57.6,2
19,23-01-2022,Georg Pipps,Art,9.6,2
20,11-01-2022,Adrian Huxley,Phones,203.7,3
21,05-10-2022,Janine Labrune,Binders,19.6,4
22,16-07-2023,Violeta Benitez,Art,19.2,7
23,06-05-2023,Elizabeth Devon,Appliances,58.2,7
24,21-05-2023,Diego Freyre,Chairs,67.2,2
25,24-02-2023,Jonas Bergulfsen,Tables,988,3
26,20-06-2022,Christina Berglund,Binders,9.5,2
27,08-02-2022,Mart¡n Sommer,Accessories,87.3,3
28,11-12-2023,Juri Hirano,Bookcases,2987.6,7
29,21-08-2022,Eric Natividad,Binders,9.5,2
30,14-08-2022,Maria Hernandez,Furnishings,115.2,3
31,20-11-2022,Tony Calaghan,Pencil,0,0
32,19-01-2023,Francisca Cervantes,Art,86.4,6
33,30-01-2023,Mary Saveley,Binders,9.5,6
34,03-06-2022,Yoshi Tannamuri,Art,19.2,2
35,28-09-2022,Steve Thompson,Paper,29.1,3
36,30-10-2022,Kyung Tseng,Phones,1045,7
37,27-07-2023,Leslie Murphy,Furnishings,182.4,5
38,07-03-2023,Akiko Shimamura,Envelopes,107.8,9
39,18-08-2023,Adrian Huxley,Bookcases,519.4,3
40,20-01-2022,Paolo Accorti,Chairs,205.8,3
41,29-06-2023,Maria Larsson,Phones,351.5,4
42,28-06-2022,Daniel Tonini,Phones,145.5,4
43,09-02-2023,Valarie Nelson,Storage,76,2
44,18-09-2023,Valarie Young,Storage,96,2
45,11-11-2022,Peter Ferguson,Accessories,49,2
46,27-05-2022,Valarie Nelson,Binders,19,2
47,03-02-2023,Allen Nelson,Storage,201.6,4
48,16-02-2022,Anna O'Hara,Accessories,47.5,3
49,06-05-2022,Jean Fresnisre,Phones,19.2,2
50,18-06-2023,Diego Freyre,Binders,38.4,6
51,11-01-2022,Kwai Yu,Labels,76.8,6
52,09-09-2023,Peter Ferguson,Furnishings,9.6,2
53,31-01-2022,Daniel Da Cunha,Chairs,85.5,1
54,30-07-2023,Julie Young,Fasteners,19.4,7
55,17-10-2023,Juri Hirano,Phones,988.8,5
56,06-07-2023,Martine Rance,Storage,199.5,6
57,15-09-2023,Veysel Oeztan,Paper,28.5,5
58,09-08-2022,Mory Kentary,Chairs,313.6,5
59,05-04-2022,Peter Ferguson,Paper,9.6,2
60,24-06-2023,Rosa Hernandez,Accessories,28.5,2
61,10-03-2022,William Brown,Binders,49,4
62,08-04-2023,Julie King,Pencil,0,0
63,16-10-2023,Janine Labrune,Accessories,9.7,2
64,02-08-2023,Marta Hernandez,Binders,29.4,6
65,05-11-2022,Carine Schmitt,Paper,142.5,3
66,06-05-2022,Steve Frick,Furnishings,78.4,4
67,26-03-2022,Kyung Yu,Chairs,199.5,5
68,10-04-2022,Kwai Yu,Art,1076.7,8
69,12-08-2022,Akiko Shimamura,Phones,164.9,4
70,25-02-2022,Adrian Huxley,Paper,78.4,2
71,29-11-2022,Tony Calaghan,Pencil,0,0
72,18-12-2022,Violeta Benitez,Paper,19.4,3
73,07-03-2023,Dominique Perrier,Chairs,813.4,8
74,12-07-2023,Diego Freyre,Furnishings,97,2
75,21-10-2022,Kwai Yu,Storage,68.6,1
76,17-04-2023,Peter Ferguson,Pencil,0,0
77,20-05-2023,Daniel Da Cunha,Furnishings,9.6,3
78,13-05-2023,Julie Young,Storage,29.4,3
79,20-10-2022,Juri Hirano,Furnishings,19.6,5
80,22-10-2023,Martine Rance,Appliances,203.7,1
81,20-07-2022,Veysel Oeztan,Binders,19.6,3
82,16-11-2022,Mory Kentary,Art,9.5,5
83,10-11-2022,Peter Ferguson,Storage,19.2,1
84,15-03-2022,Michael Frick,Envelopes,194,7
85,03-10-2023,William Brown,Storage,225.4,3
86,20-03-2022,Julie King,Chairs,285,2
87,04-12-2023,Janine Labrune,Accessories,19,1
88,24-11-2023,Marta Hernandez,Labels,9.5,2
89,30-12-2023,Matti Karttunen,Storage,152,7
90,23-05-2022,Steve Frick,Art,19.6,3
91,06-04-2023,Kyung Yu,Phones,68.6,2
92,23-03-2022,Kwai Yu,Paper,9.8,1
93,07-04-2023,Akiko Shimamura,Paper,9.8,2
94,13-05-2022,Juri Hirano,Furnishings,47.5,3
95,23-04-2022,Tony Calaghan,Binders,29.1,2
96,17-12-2023,Violeta Benitez,Binders,9.8,1
97,28-04-2022,Elizabeth Devon,Furnishings,95,7
98,14-06-2023,Diego Freyre,Binders,48,3
99,05-02-2023,Jytte Petersen,Appliances,77.6,6
100,30-12-2023,Georg Pipps,Paper,58.2,7
101,24-02-2022,Ann Brown,Accessories,95,3
102,25-07-2022,Wing C Tam,Pencil,0,0
103,14-01-2022,Matti Karttunen,Paper,19.2,4
104,22-12-2022,Maria Larsson,Accessories,232.8,6
105,09-06-2022,Annette Roulet,Furnishings,95,3
106,28-10-2023,Thomas Hardy,Binders,38,3
107,18-10-2022,Eduardo Saavedra,Accessories,66.5,8
108,23-11-2022,Valarie Thompson,Phones,29.1,1
109,12-10-2023,Kwai Yu,Pencil,0,0
110,17-03-2023,Jean Fresnisre,Accessories,333.2,5
111,05-09-2023,Catherine Dewey,Furnishings,39.2,2
112,28-01-2022,Elizabeth Lincoln,Art,77.6,2
113,26-12-2022,Juri Yoshido,Binders,29.1,6
114,06-06-2023,Francisca Cervantes,Fasteners,39.2,14
115,08-11-2023,Helen Bennett,Pencil,0,0
116,15-11-2022,Jonas Bergulfsen,Paper,19.2,3
117,30-06-2022,Maria Hernandez,Envelopes,123.5,6
118,27-10-2023,Diego Freyre,Tables,758.4,3
119,19-07-2023,Paul Henriot,Binders,152,1
120,30-03-2023,Pirkko Koskitalo,Furnishings,48.5,3
121,03-03-2022,Daniel Da Cunha,Binders,29.4,4
122,20-10-2022,Sue Frick,Storage,225.4,6
123,23-01-2023,Juri Yoshido,Envelopes,115.2,9
124,21-01-2023,Jonas Bergulfsen,Phones,68.6,7
125,18-07-2023,Marie Bertrand,Chairs,582,3
126,15-07-2023,Mart¡n Sommer,Tables,595.2,6
127,14-07-2022,Juri Hirano,Pencil,0,0
128,30-03-2023,Eric Natividad,Storage,230.4,7
129,18-09-2023,Roland Mendel,Chairs,78.4,2
130,03-01-2022,Ann Brown,Furnishings,230.4,3
131,17-07-2022,Francisca Cervantes,Phones,58.2,5
132,30-03-2022,Mary Saveley,Paper,76.8,2
133,01-05-2022,Valarie Franco,Fasteners,19,9
134,29-04-2023,Wendy Victorino,Paper,19.2,3
135,28-10-2022,Valarie Nelson,Paper,38,1
136,05-03-2022,Leslie Murphy,Art,9.5,4
137,28-03-2022,Wendy Victorino,Pencil,0,0
138,16-10-2023,Adrian Huxley,Binders,78.4,3
139,15-05-2022,Kyung Yu,Supplies,66.5,6
140,06-06-2023,Maria Larsson,Furnishings,39.2,14
141,10-06-2022,Marta Hernandez,Furnishings,78.4,2
142,22-07-2022,Yoshi Tannamuri,Art,9.7,3
143,27-12-2023,Valarie Young,Envelopes,9.8,3
144,29-11-2023,Christina Berglund,Paper,133,3
145,19-03-2022,Peter Ferguson,Appliances,823.2,3
146,04-06-2023,Valarie Nelson,Storage,649.9,7
147,31-05-2023,Anna O'Hara,Furnishings,86.4,4
148,12-06-2022,Anna O'Hara,Phones,364.8,11
149,18-05-2022,Jean Fresnisre,Phones,142.5,3
150,23-01-2022,Janine Labrune,Chairs,1891.5,8
151,21-08-2023,Arnold Cruz,Binders,163.2,5
152,31-08-2023,Laurence Lebihan,Appliances,152,5
153,25-10-2022,Valarie Nelson,Phones,196,2
154,07-10-2022,Allen Nelson,Paper,57.6,7
155,25-03-2023,Anna O'Hara,Paper,105.6,4
156,27-03-2023,Veysel Oeztan,Storage,76.8,6
157,03-05-2022,Henriette Pfalzheim,Art,9.7,3
158,18-05-2022,Diego Freyre,Chairs,450.8,2
159,25-04-2022,Dominique Perrier,Labels,9.7,2
160,30-06-2022,Michael Holz,Phones,893,7
161,10-01-2022,Jytte Petersen,Paper,9.6,1
162,27-11-2023,Elizabeth Devon,Accessories,47.5,2
163,16-02-2022,Maurizio Moroni,Envelopes,28.8,5
164,14-08-2022,Miguel Barajas,Binders,29.1,2
165,14-10-2023,Michael Holz,Art,9.5,3
166,16-10-2022,Roland Keitel,Machines,7833.6,8
167,20-11-2022,Henriette Pfalzheim,Storage,268.8,3
168,04-11-2023,Christina Berglund,Chairs,1670.4,9
169,16-06-2023,Kwai Yu,Art,28.8,6
170,20-10-2022,Georg Pipps,Appliances,176.4,5
171,12-07-2022,Kalle Suominen,Phones,133,3
172,28-01-2022,Janine Labrune,Paper,19.6,3
173,10-10-2023,Maria Larsson,Paper,105.6,2
174,05-10-2022,Georg Pipps,Chairs,333.2,7
175,02-01-2023,Jytte Petersen,Appliances,48,2
