employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,department_id
1,Aman,Sharma,ASHARMA,715.234.4577,16-06-1977,AD_VP,34000,50
2,Gopi,Kumar,GKUMAR,715.134.8765,27-09-1979,AD_PRES,29000,50
3,Laxman,Dubey,LDUBEY,915.173.8969,23-01-1983,AD_VP,28000,50
4,Abhishek,Sharma,ASHARMA,901.765.7869,30-01-1996,FI_MGR,15000,70
5,Bhuvan,Bhosle,BBHOSLE,999.673.9878,01-05-1982,FI_MGR,13000,70
6,Danny,Devgan,DDEVGAN,902.876.9498,12-06-1987,FI_MGR,11000,70
7,Velur,Patel,VPATEL,987.654.9765,27-02-1992,FI_MGR,16000,70
8,Akshay,Upadhyay,AUPADHYAY,922.354.9786,18-03-1981,FI_MGR,13500,70
9,Nitin,Gautam,NGAUTAM,782.144.9865,12-09-1987,IT_PROG,4700,10
10,Abhishek,Fandnavis,AFANDNAVIS,782.098.7480,10-11-1999,IT_PROG,5700,10
11,Jack,Carle,JCARLE,678.986.7456,09-12-1999,IT_PROG,9300,10
12,Ishan,Malik,IMALIK,895.785.9724,15-09-1987,IT_PROG,9100,10
13,Usmaan,Sheikh,USHEIKH,762.952.7693,29-04-1998,IT_PROG,7700,10
14,Lohan,Kumar,LKUMAR,667.984.1098,18-12-1992,IT_PROG,8500,10
15,Abhyuday,Sahu,ASAHU,624.960.2867,11-11-1998,FI_ACCOUNT,19000,99
16,Gaurav,Sharma,GSHARMA,748.539.9750,14-04-1996,FI_ACCOUNT,16000,99
17,Sheikh,Hamza,SHAMZA,867.567.9723,30-11-1989,FI_ACCOUNT,11000,99
18,Hussain,Malik,HMALIK,978.149.9758,12-06-1982,FI_ACCOUNT,13200,99
19,Gustav,Khan,GKHAN,978.213.9784,11-01-1993,FI_ACCOUNT,14600,99
20,Karan,Malhotra,KMALHOTRA,764.859.2547,15-08-1989,FI_ACCOUNT,11200,99
21,Manish,Juneja,MJUNEJA,761.398.6745,23-06-1992,PU_CLERK,3500,77
22,Udham,Singh,USINGH,756.867.9784,29-05-1993,PU_CLERK,4500,77
23,Payal,Meena,PMEENA,876.087.2756,17-05-1985,PU_CLERK,6300,77
24,Aradhna,Singh,ASINGH,340.867.8724,12-11-1987,PU_CLERK,7600,77
25,Kamini,Beniwal,KBENIWAL,879.378.6502,11-01-1989,PU_CLERK,8100,77
26,Jagriti,Bahal,JBAHAL,873.973.1856,19-06-1999,PU_CLERK,7900,77
27,Sang,Wuu,SWUU,687.452.2769,19-11-1982,ST_CLERK,4000,22
28,Jamie,Lannister,JLANNISTER,756.769.1845,21-01-1998,ST_CLERK,3400,22
29,Nina,Dobrev,NDOBREV,654.182.7684,09-04-1996,ST_CLERK,4300,22
30,Leslie,Winkle,LWinkle,879.435.9785,21-04-1976,ST_CLERK,2700,22
31,Mohammad,Salman,MSALMAN,768.435.9784,10-10-1986,ST_CLERK,5600,22
32,Aakash,Mishra,AMISHRA,657.269.8745,19-06-1999,ST_CLERK,3900,22
33,Niti,Palta,NPALTA,568.189.6578,28-04-2000,ST_CLERK,4100,22
34,Shina,Wilson,SWILSON,867.190.0076,18-04-1999,ST_CLERK,4800,22
35,Mitchell,Robert,MROBERT,875.436.0002,02-10-1978,ST_CLERK,7800,22
36,Lee,San,LSAN,645.187.9754,11-09-1998,ST_CLERK,4500,22
37,Sania,Keech,SKEECH,431.896.7665,28-02-1993,ST_CLERK,3300,22
38,Rachel,Downey,RDOWNEY,759.124.8479,23-05-1990,ST_CLERK,5300,22
39,Rose,Khan,RKHAN,786.772.9875,11-01-1989,ST_CLERK,4700,22
40,Shalini,Kumar,SKUMAR,991.867.9549,21-03-1978,ST_CLERK,3100,22
41,Sneha,Ghosh,SGHOSH,867.823.8963,11-02-1988,ST_CLERK,4400,22
42,Troy,Sharma,TSHARMA,768.766.8877,11-11-1978,ST_CLERK,2400,22
43,Candy,Hussain,CHUSSAIN,973.065.1365,12-04-1962,ST_CLERK,6200,22
44,Rishabh,Pant,RPANT,789.232.9867,01-04-1979,ST_CLERK,3200,22
45,Purv,Vyas,PVYAS,476.978.2001,11-06-1991,ST_CLERK,4300,22
46,Jamilla,Pattinson,JPATTINSON,011.27.8765.980768,10-09-1975,ST_MAN,8000,55
47,Kevin,Peter,KPETER,011.22.8675.967869,10-04-1993,ST_MAN,9500,55
48,Alpin,Liebo,ALIEBO,011.22.9844.010135,16-04-1987,ST_MAN,8900,55
49,Hardik,Patel,HPATEL,011.88.6460.927543,19-11-1972,ST_MAN,10000,55
50,Elena,Koshka,EKOSHKA,011.56.9876.996622,31-03-1997,ST_MAN,14300,55
51,Ajay,Mishra,AMISHRA,011.77.9897.979977,11-04-1999,SA_MAN,19000,45
52,Kapil,Sharma,KSHARMA,011.33.9786.008866,18-10-1991,SA_MAN,17300,45
53,Samuel,Gill,SGILL,011.99.8833.866740,19-09-1992,SA_MAN,11200,45
54,Chameli,Singh,CSINGH,011.68.7654.967486,30-04-1988,SA_MAN,10300,45
55,Nancy,Bisht,NBISHT,011.32.8674.968745,18-04-1976,SA_MAN,18700,45
56,Ujjwal,Seth,USETH,011.99.7689.987859,13-08-1995,SA_MAN,13200,45
57,Jasleen,Kaur,JKAUR,011.66.7689.756365,10-04-1999,SA_MAN,12100,45
58,Yasmeen,Nair,YNAIR,011.88.8765.867429,18-05-1987,SA_MAN,7600,45
59,Esha,Chopra,ECHOPRA,011.86.8974.978465,10-02-1978,SA_MAN,18200,45
60,Lovely,Pandey,LPandey,011.88.8765.978537,16-05-1998,SA_MAN,6000,45
61,Rauf,Ali,RALI,011.77.8858.867689,08-01-1988,SA_MAN,9900,45
62,Sameer,Prem,SPREM,011.55.8767.877568,11-01-1989,SA_MAN,14200,45
63,Claire,Jacobs,CJACOBS,011.55.9787.864595,17-02-1999,SA_MAN,15100,45
64,Danish,Sidiqqui,DSIDIQQUI,011.55.8774.876435,26-01-1974,SA_MAN,11200,45
65,Manish,Sehgal,MSEHGAL,011.78.7654.678945,13-05-1994,SA_MAN,14300,45
66,Daksh,Singh,DSINGH,011.88.8674.8667403,25-12-1999,SA_MAN,7600,45
67,Saksham,Khera,SKHERA,011.55.7678.768545,28-05-1985,SA_MAN,7900,45
68,Daisy,Modi,DMODI,011.55.8675.9667453,29-04-1979,SA_MAN,4500,45
69,Lavnya,Thakur,LTHAKUR,011.55.6745.867549,18-04-1986,SA_MAN,13200,45
70,Samarth,Taneja,STANEJA,011.55.8674.879543,13-05-1992,SA_MAN,12000,45
71,Tarun,Rana,TRANA,011.76.6785.876453,15-04-1996,SA_MAN,16500,45
72,Vikas,Dubey,VDUBEY,011.56.6574.765434,16-02-1985,SA_MAN,7800,45
73,Aditi,Sarkar,ASARKAR,011.66.9373.885522,02-04-1993,SA_MAN,6200,45
74,Sundar,Pichai,SPICHAI,011.53.8675.653987,13-05-1998,SA_MAN,4300,45
75,Manya,Dutt,MDUTT,011.42.8764.978653,19-04-1992,SA_MAN,15100,45
76,Aisha,Shome,ASHOME,011.56.7654.879345,12-03-1991,SA_MAN,4600,45
77,Justin,Scot,JSCOT,011.78.8754.756345,13-06-1999,SA_MAN,9800,45
78,Chen,Woo,CWOO,011.67.6543.786543,12-05-2000,SA_MAN,5800,45
79,Karanveer,Shekhawat,KSHEKHAWAT,011.45.8765.765432,12-01-2000,SA_MAN,6000,0
80,Sophie,Turner,STURNER,011.55.8765.768457,16-04-1976,SA_MAN,5300,45
81,Hamza,Sheikh,HSHEIKH,765.875.8674,13-11-1993,SA_REP,4300,38
82,Azhar,Asim,AASIM,765.765.8765,15-01-1999,SA_REP,4300,38
83,Mohit,Makhija,MMAKHIJA,756.543.8764,16-06-2000,SA_REP,4300,38
84,Gaurav,Pandey,GPANDEY,850.657.7654,23-04-1971,SA_REP,25000,38
85,Nandita,Mondal,NMONDAL,543.876.6543,15-11-1975,SA_REP,18000,38
86,Arnav,Sharma,ASHARMA,430.765.7654,14-01-1994,SA_REP,5600,38
87,Jesse,Pinkman,JPINKMAN,765.876.4365,18-12-1999,SA_REP,7800,38
88,Asim,Khan,AKHAN,674.765.7643,19-03-2001,SA_REP,8000,38
89,Ajay,Nagar,ANAGAR,345.765.7632,12-04-1999,SA_REP,5900,38
90,Simmy,Jaiswal,SJAISWAL,987.762.4832,08-12-1999,SA_REP,7600,38
91,Tiffani,Jacobs,TJACOBS,543.785.8675,23-06-2000,MK_MAN,9500,52
92,Rohit,Dhawan,RDHAWAN,867.978.9865,25-01-1989,MK_MAN,17600,52
93,Sakshi,Reddy,SREDDY,978.756.8674,09-09-1997,MK_MAN,20000,52
94,Brec,Bassigner,BBASSIGNER,967.876.9784,08-04-1999,HR_REP,9900,69
95,Gopinath,Ramgopalan,GRAMGOPALAN,432.643.8796,05-09-1978,HR_REP,13400,69
96,Vaani,Hasina,VHASINA,456.756.9786,30-05-1995,PR_REP,5600,73
97,Sunakshi,Motwani,SMOTWANI,870.912.9213,11-05-1995,PR_REP,8700,73
98,Chris,Hemsworth,CHEMSWORTH,968.678.7683,01-07-1992,PR_REP,7800,73
99,Alia,Kohli,AKOHLI,234.876.6790,30-11-1998,PR_REP,6900,73
100,Durga,Singh,DSINGH,987.876.7659,15-02-1999,AC_MGR,7800,88
101,Atul,Bhagnani,ABHAGNANI,645.987.7658,19-11-1996,AC_ACCOUNT,34000,89
102,Ashok,Mishra,AMISHRA,543.765.8765,27-03-1979,AD_ASST,19000,19
103,Yaseer,Khan,YKHAN,798.234.9786,19-12-1993,MK_REP,9300,91
